id_delegado,region,antiguedad_anos,coste_visita_eur
DEL001,Noreste,13,61.47
DEL002,Noroeste,13,78.83
DEL003,Centro,10,69.51
DEL004,Levante,15,67.51
DEL005,Sur,1,75.85
DEL006,Noreste,14,71.47
DEL007,Noroeste,5,60.37
DEL008,Centro,9,72.74
DEL009,Levante,14,71.48
DEL010,Sur,14,68.09
DEL011,Noreste,5,74.35
DEL012,Noroeste,11,85.47
DEL013,Centro,16,73.6
DEL014,Levante,17,58.77
DEL015,Sur,15,72.53
DEL016,Noreste,4,72.83
DEL017,Noroeste,8,71.82
DEL018,Centro,4,75.34
DEL019,Levante,16,71.19
DEL020,Sur,16,71.47
DEL021,Noreste,8,75.02
DEL022,Noroeste,8,73.59
DEL023,Centro,14,83.36
DEL024,Levante,15,67.87
DEL025,Sur,16,91.26
DEL026,Noreste,16,60.7
DEL027,Noroeste,11,76.72
DEL028,Centro,9,79.46
DEL029,Levante,3,70.61
DEL030,Sur,13,73.01
DEL031,Noreste,19,81.68
DEL032,Noroeste,6,71.53
DEL033,Centro,8,72.89
DEL034,Levante,17,68.61
DEL035,Sur,5,75.98
DEL036,Noreste,9,66.62
DEL037,Noroeste,10,74.67
DEL038,Centro,3,89.33
DEL039,Levante,9,77.13
DEL040,Sur,1,69.22
DEL041,Noreste,17,64.34
DEL042,Noroeste,8,63.29
DEL043,Centro,18,71.51
DEL044,Levante,6,71.08
DEL045,Sur,13,69.3
DEL046,Noreste,5,64.04
DEL047,Noroeste,8,71.99
DEL048,Centro,18,69.1
DEL049,Levante,16,68.35
DEL050,Sur,14,78.2
