id_medico,segmento_potencial,region,brick,id_delegado_asignado
MED0001,C,Noreste,NOR-20,DEL041
MED0002,B,Centro,CEN-19,DEL008
MED0003,C,Levante,LEV-17,DEL039
MED0004,C,Sur,SUR-11,DEL020
MED0005,C,Noroeste,NOR-03,DEL047
MED0006,B,Noroeste,NOR-09,DEL042
MED0007,C,Sur,SUR-26,DEL010
MED0008,C,Centro,CEN-24,DEL018
MED0009,C,Noroeste,NOR-03,DEL002
MED0010,B,Sur,SUR-20,DEL010
MED0011,A,Noroeste,NOR-13,DEL012
MED0012,B,Centro,CEN-01,DEL023
MED0013,C,Levante,LEV-14,DEL039
MED0014,C,Noreste,NOR-28,DEL006
MED0015,C,Sur,SUR-13,DEL010
MED0016,C,Noroeste,NOR-02,DEL007
MED0017,B,Noroeste,NOR-23,DEL042
MED0018,C,Centro,CEN-25,DEL003
MED0019,B,Centro,CEN-10,DEL023
MED0020,C,Noroeste,NOR-11,DEL007
MED0021,B,Levante,LEV-14,DEL034
MED0022,A,Sur,SUR-29,DEL020
MED0023,B,Centro,CEN-23,DEL033
MED0024,C,Noreste,NOR-11,DEL021
MED0025,B,Centro,CEN-10,DEL033
MED0026,B,Noroeste,NOR-29,DEL022
MED0027,A,Sur,SUR-19,DEL030
MED0028,C,Noroeste,NOR-18,DEL047
MED0029,C,Levante,LEV-17,DEL044
MED0030,B,Noroeste,NOR-08,DEL027
MED0031,C,Centro,CEN-04,DEL013
MED0032,C,Noroeste,NOR-14,DEL022
MED0033,C,Noreste,NOR-28,DEL021
MED0034,B,Levante,LEV-02,DEL034
MED0035,C,Sur,SUR-07,DEL010
MED0036,B,Sur,SUR-26,DEL040
MED0037,B,Noreste,NOR-04,DEL026
MED0038,B,Levante,LEV-14,DEL024
MED0039,B,Centro,CEN-08,DEL028
MED0040,A,Centro,CEN-26,DEL018
MED0041,B,Centro,CEN-08,DEL038
MED0042,B,Levante,LEV-04,DEL049
MED0043,C,Noreste,NOR-24,DEL016
MED0044,A,Levante,LEV-11,DEL039
MED0045,C,Centro,CEN-20,DEL023
MED0046,B,Noroeste,NOR-02,DEL002
MED0047,C,Levante,LEV-12,DEL039
MED0048,B,Noreste,NOR-30,DEL016
MED0049,B,Noreste,NOR-10,DEL011
MED0050,B,Centro,CEN-19,DEL018
MED0051,C,Noroeste,NOR-14,DEL002
MED0052,B,Sur,SUR-12,DEL015
MED0053,B,Noreste,NOR-20,DEL006
MED0054,B,Sur,SUR-17,DEL045
MED0055,B,Centro,CEN-14,DEL048
MED0056,B,Noreste,NOR-14,DEL046
MED0057,C,Noroeste,NOR-28,DEL017
MED0058,A,Noroeste,NOR-26,DEL002
MED0059,B,Noroeste,NOR-26,DEL007
MED0060,B,Noroeste,NOR-21,DEL032
MED0061,C,Levante,LEV-23,DEL039
MED0062,B,Noroeste,NOR-09,DEL047
MED0063,A,Centro,CEN-19,DEL038
MED0064,C,Centro,CEN-07,DEL008
MED0065,C,Sur,SUR-14,DEL045
MED0066,C,Centro,CEN-05,DEL043
MED0067,B,Noreste,NOR-17,DEL021
MED0068,B,Centro,CEN-23,DEL028
MED0069,B,Noroeste,NOR-29,DEL022
MED0070,A,Noreste,NOR-25,DEL021
MED0071,C,Sur,SUR-08,DEL050
MED0072,C,Noreste,NOR-07,DEL036
MED0073,B,Levante,LEV-24,DEL039
MED0074,C,Sur,SUR-28,DEL020
MED0075,B,Sur,SUR-10,DEL025
MED0076,A,Noreste,NOR-17,DEL001
MED0077,C,Noreste,NOR-21,DEL006
MED0078,C,Levante,LEV-28,DEL029
MED0079,B,Noreste,NOR-18,DEL011
MED0080,A,Centro,CEN-03,DEL013
MED0081,C,Sur,SUR-14,DEL020
MED0082,C,Levante,LEV-15,DEL044
MED0083,C,Noreste,NOR-20,DEL011
MED0084,C,Centro,CEN-12,DEL028
MED0085,A,Centro,CEN-23,DEL043
MED0086,B,Sur,SUR-30,DEL030
MED0087,C,Noreste,NOR-05,DEL016
MED0088,C,Levante,LEV-11,DEL049
MED0089,B,Levante,LEV-14,DEL039
MED0090,A,Levante,LEV-25,DEL024
MED0091,C,Noroeste,NOR-01,DEL027
MED0092,C,Centro,CEN-04,DEL048
MED0093,A,Noreste,NOR-21,DEL041
MED0094,B,Noroeste,NOR-19,DEL042
MED0095,B,Levante,LEV-07,DEL044
MED0096,B,Centro,CEN-17,DEL013
MED0097,C,Sur,SUR-11,DEL030
MED0098,B,Levante,LEV-18,DEL014
MED0099,C,Noroeste,NOR-09,DEL037
MED0100,C,Noreste,NOR-07,DEL001
MED0101,C,Noreste,NOR-13,DEL001
MED0102,C,Levante,LEV-26,DEL019
MED0103,C,Noroeste,NOR-10,DEL032
MED0104,C,Sur,SUR-27,DEL020
MED0105,C,Noroeste,NOR-19,DEL002
MED0106,B,Noreste,NOR-22,DEL041
MED0107,C,Noreste,NOR-30,DEL001
MED0108,A,Levante,LEV-27,DEL049
MED0109,C,Levante,LEV-26,DEL009
MED0110,B,Levante,LEV-11,DEL009
MED0111,A,Centro,CEN-25,DEL048
MED0112,B,Sur,SUR-06,DEL020
MED0113,B,Noreste,NOR-02,DEL021
MED0114,C,Centro,CEN-13,DEL008
MED0115,C,Centro,CEN-25,DEL013
MED0116,A,Levante,LEV-22,DEL034
MED0117,B,Centro,CEN-28,DEL013
MED0118,B,Levante,LEV-20,DEL024
MED0119,B,Noreste,NOR-25,DEL011
MED0120,B,Noroeste,NOR-19,DEL037
MED0121,C,Levante,LEV-02,DEL029
MED0122,A,Levante,LEV-19,DEL049
MED0123,B,Noreste,NOR-23,DEL026
MED0124,B,Centro,CEN-19,DEL043
MED0125,A,Centro,CEN-23,DEL008
MED0126,B,Noroeste,NOR-29,DEL032
MED0127,B,Sur,SUR-12,DEL045
MED0128,C,Centro,CEN-10,DEL028
MED0129,B,Centro,CEN-16,DEL013
MED0130,B,Levante,LEV-15,DEL009
MED0131,C,Noroeste,NOR-27,DEL027
MED0132,B,Noroeste,NOR-04,DEL007
MED0133,C,Centro,CEN-20,DEL018
MED0134,A,Centro,CEN-26,DEL033
MED0135,C,Noreste,NOR-17,DEL046
MED0136,C,Noreste,NOR-22,DEL036
MED0137,B,Noreste,NOR-01,DEL011
MED0138,C,Sur,SUR-02,DEL020
MED0139,C,Noreste,NOR-15,DEL041
MED0140,C,Sur,SUR-20,DEL015
MED0141,C,Noreste,NOR-06,DEL041
MED0142,B,Noreste,NOR-21,DEL036
MED0143,C,Noreste,NOR-18,DEL021
MED0144,B,Levante,LEV-07,DEL009
MED0145,B,Noreste,NOR-26,DEL036
MED0146,B,Levante,LEV-27,DEL024
MED0147,A,Centro,CEN-28,DEL033
MED0148,B,Noroeste,NOR-16,DEL012
MED0149,C,Noroeste,NOR-23,DEL017
MED0150,C,Centro,CEN-15,DEL023
MED0151,C,Sur,SUR-03,DEL005
MED0152,C,Centro,CEN-18,DEL003
MED0153,C,Levante,LEV-08,DEL014
MED0154,C,Noreste,NOR-12,DEL016
MED0155,C,Noreste,NOR-14,DEL016
MED0156,C,Sur,SUR-23,DEL045
MED0157,A,Levante,LEV-19,DEL024
MED0158,A,Noreste,NOR-16,DEL036
MED0159,C,Sur,SUR-06,DEL050
MED0160,C,Centro,CEN-01,DEL008
MED0161,A,Noreste,NOR-23,DEL006
MED0162,B,Centro,CEN-25,DEL028
MED0163,C,Noroeste,NOR-13,DEL017
MED0164,C,Sur,SUR-07,DEL035
MED0165,B,Noreste,NOR-03,DEL041
MED0166,C,Centro,CEN-30,DEL028
MED0167,B,Noreste,NOR-19,DEL006
MED0168,B,Noreste,NOR-27,DEL041
MED0169,C,Centro,CEN-25,DEL023
MED0170,C,Noreste,NOR-01,DEL016
MED0171,B,Centro,CEN-08,DEL023
MED0172,C,Noroeste,NOR-29,DEL017
MED0173,B,Sur,SUR-13,DEL020
MED0174,C,Sur,SUR-14,DEL020
MED0175,C,Centro,CEN-30,DEL023
MED0176,B,Sur,SUR-23,DEL045
MED0177,B,Centro,CEN-21,DEL038
MED0178,C,Sur,SUR-06,DEL040
MED0179,C,Noreste,NOR-17,DEL021
MED0180,C,Levante,LEV-19,DEL049
MED0181,B,Centro,CEN-12,DEL008
MED0182,C,Centro,CEN-19,DEL008
MED0183,C,Noreste,NOR-30,DEL046
MED0184,B,Centro,CEN-17,DEL043
MED0185,C,Sur,SUR-28,DEL020
MED0186,C,Levante,LEV-26,DEL034
MED0187,C,Sur,SUR-28,DEL020
MED0188,B,Noreste,NOR-26,DEL011
MED0189,C,Centro,CEN-11,DEL033
MED0190,B,Noreste,NOR-19,DEL031
MED0191,A,Centro,CEN-04,DEL048
MED0192,B,Noreste,NOR-03,DEL006
MED0193,B,Sur,SUR-21,DEL030
MED0194,B,Centro,CEN-05,DEL013
MED0195,C,Centro,CEN-08,DEL028
MED0196,C,Noreste,NOR-29,DEL036
MED0197,A,Levante,LEV-19,DEL014
MED0198,C,Noroeste,NOR-06,DEL002
MED0199,B,Levante,LEV-09,DEL024
MED0200,B,Levante,LEV-06,DEL019
MED0201,C,Sur,SUR-21,DEL035
MED0202,B,Levante,LEV-16,DEL039
MED0203,B,Levante,LEV-01,DEL044
MED0204,C,Centro,CEN-22,DEL018
MED0205,C,Sur,SUR-17,DEL030
MED0206,B,Levante,LEV-25,DEL034
MED0207,C,Noreste,NOR-05,DEL036
MED0208,C,Centro,CEN-26,DEL008
MED0209,B,Centro,CEN-10,DEL043
MED0210,A,Sur,SUR-03,DEL040
MED0211,B,Levante,LEV-19,DEL024
MED0212,C,Sur,SUR-20,DEL010
MED0213,C,Noroeste,NOR-01,DEL047
MED0214,A,Noreste,NOR-18,DEL016
MED0215,A,Sur,SUR-03,DEL035
MED0216,C,Noreste,NOR-04,DEL001
MED0217,B,Sur,SUR-02,DEL020
MED0218,C,Noroeste,NOR-06,DEL032
MED0219,B,Levante,LEV-09,DEL004
MED0220,B,Sur,SUR-19,DEL050
MED0221,C,Centro,CEN-22,DEL018
MED0222,C,Noroeste,NOR-21,DEL032
MED0223,B,Centro,CEN-23,DEL028
MED0224,A,Centro,CEN-07,DEL008
MED0225,C,Noroeste,NOR-08,DEL007
MED0226,B,Noreste,NOR-27,DEL006
MED0227,B,Levante,LEV-03,DEL029
MED0228,C,Centro,CEN-01,DEL018
MED0229,B,Noreste,NOR-01,DEL021
MED0230,B,Sur,SUR-19,DEL045
MED0231,B,Levante,LEV-17,DEL014
MED0232,C,Sur,SUR-22,DEL035
MED0233,C,Sur,SUR-25,DEL035
MED0234,C,Centro,CEN-09,DEL013
MED0235,C,Centro,CEN-19,DEL023
MED0236,B,Noroeste,NOR-26,DEL012
MED0237,C,Levante,LEV-10,DEL014
MED0238,C,Levante,LEV-26,DEL044
MED0239,C,Levante,LEV-19,DEL004
MED0240,C,Levante,LEV-20,DEL049
MED0241,C,Noreste,NOR-07,DEL006
MED0242,B,Sur,SUR-13,DEL045
MED0243,B,Centro,CEN-28,DEL043
MED0244,C,Centro,CEN-21,DEL028
MED0245,A,Centro,CEN-11,DEL033
MED0246,A,Levante,LEV-27,DEL004
MED0247,B,Noroeste,NOR-21,DEL002
MED0248,B,Levante,LEV-09,DEL024
MED0249,C,Sur,SUR-04,DEL030
MED0250,C,Levante,LEV-03,DEL019
MED0251,B,Noreste,NOR-01,DEL041
MED0252,C,Centro,CEN-28,DEL048
MED0253,C,Centro,CEN-28,DEL003
MED0254,C,Levante,LEV-19,DEL044
MED0255,C,Sur,SUR-14,DEL020
MED0256,B,Noreste,NOR-25,DEL011
MED0257,C,Sur,SUR-23,DEL050
MED0258,C,Levante,LEV-24,DEL039
MED0259,B,Sur,SUR-15,DEL035
MED0260,C,Noreste,NOR-23,DEL046
MED0261,B,Sur,SUR-02,DEL045
MED0262,C,Levante,LEV-22,DEL019
MED0263,C,Levante,LEV-19,DEL039
MED0264,C,Noreste,NOR-30,DEL011
MED0265,C,Noreste,NOR-05,DEL006
MED0266,B,Noreste,NOR-19,DEL001
MED0267,B,Levante,LEV-06,DEL034
MED0268,C,Noreste,NOR-28,DEL036
MED0269,A,Centro,CEN-02,DEL008
MED0270,C,Noroeste,NOR-21,DEL012
MED0271,C,Noreste,NOR-24,DEL041
MED0272,A,Centro,CEN-28,DEL013
MED0273,B,Noreste,NOR-17,DEL036
MED0274,C,Noreste,NOR-16,DEL046
MED0275,B,Centro,CEN-24,DEL013
MED0276,C,Levante,LEV-02,DEL024
MED0277,C,Centro,CEN-18,DEL048
MED0278,B,Noroeste,NOR-12,DEL037
MED0279,A,Noroeste,NOR-24,DEL017
MED0280,B,Centro,CEN-08,DEL048
MED0281,C,Levante,LEV-27,DEL014
MED0282,B,Levante,LEV-10,DEL004
MED0283,B,Levante,LEV-25,DEL024
MED0284,B,Noroeste,NOR-04,DEL012
MED0285,C,Noreste,NOR-20,DEL016
MED0286,B,Noroeste,NOR-08,DEL032
MED0287,A,Noroeste,NOR-01,DEL007
MED0288,C,Sur,SUR-17,DEL035
MED0289,C,Noreste,NOR-23,DEL031
MED0290,C,Sur,SUR-20,DEL040
MED0291,C,Noreste,NOR-30,DEL031
MED0292,B,Centro,CEN-18,DEL023
MED0293,C,Levante,LEV-05,DEL049
MED0294,C,Levante,LEV-09,DEL049
MED0295,B,Levante,LEV-16,DEL014
MED0296,B,Sur,SUR-29,DEL045
MED0297,A,Noroeste,NOR-22,DEL042
MED0298,A,Noreste,NOR-09,DEL036
MED0299,C,Noroeste,NOR-08,DEL042
MED0300,B,Levante,LEV-20,DEL014
MED0301,B,Levante,LEV-03,DEL034
MED0302,C,Levante,LEV-17,DEL049
MED0303,B,Levante,LEV-02,DEL009
MED0304,B,Noreste,NOR-07,DEL011
MED0305,A,Noroeste,NOR-30,DEL042
MED0306,C,Sur,SUR-11,DEL040
MED0307,B,Centro,CEN-25,DEL038
MED0308,A,Sur,SUR-10,DEL010
MED0309,A,Noreste,NOR-10,DEL021
MED0310,B,Centro,CEN-10,DEL043
MED0311,C,Sur,SUR-20,DEL025
MED0312,A,Levante,LEV-14,DEL014
MED0313,B,Noreste,NOR-01,DEL041
MED0314,C,Centro,CEN-24,DEL023
MED0315,B,Centro,CEN-20,DEL008
MED0316,C,Noreste,NOR-07,DEL026
MED0317,B,Levante,LEV-06,DEL014
MED0318,C,Centro,CEN-26,DEL033
