id_medico,mes,unidades_categoria,unidades_producto
MED0001,2024-01,187,50
MED0001,2024-02,171,43
MED0001,2024-03,188,51
MED0001,2024-04,174,41
MED0001,2024-05,173,39
MED0001,2024-06,195,45
MED0001,2024-07,181,44
MED0001,2024-08,146,38
MED0001,2024-09,138,33
MED0001,2024-10,184,43
MED0001,2024-11,177,45
MED0001,2024-12,163,42
MED0001,2025-01,201,47
MED0001,2025-02,182,46
MED0001,2025-03,156,38
MED0001,2025-04,190,47
MED0001,2025-05,203,56
MED0001,2025-06,169,43
MED0001,2025-07,191,44
MED0001,2025-08,195,42
MED0001,2025-09,172,41
MED0001,2025-10,159,38
MED0001,2025-11,205,45
MED0001,2025-12,173,43
MED0002,2024-01,482,85
MED0002,2024-02,494,84
MED0002,2024-03,641,92
MED0002,2024-04,509,80
MED0002,2024-05,602,96
MED0002,2024-06,459,71
MED0002,2024-07,481,74
MED0002,2024-08,490,71
MED0002,2024-09,465,85
MED0002,2024-10,526,93
MED0002,2024-11,503,78
MED0002,2024-12,434,64
MED0002,2025-01,443,56
MED0002,2025-02,563,72
MED0002,2025-03,526,68
MED0002,2025-04,605,83
MED0002,2025-05,605,75
MED0002,2025-06,496,65
MED0002,2025-07,532,64
MED0002,2025-08,430,62
MED0002,2025-09,535,75
MED0002,2025-10,471,61
MED0002,2025-11,390,48
MED0002,2025-12,477,55
MED0003,2024-01,146,28
MED0003,2024-02,153,28
MED0003,2024-03,164,31
MED0003,2024-04,119,22
MED0003,2024-05,133,27
MED0003,2024-06,143,28
MED0003,2024-07,159,27
MED0003,2024-08,141,27
MED0003,2024-09,142,26
MED0003,2024-10,154,35
MED0003,2024-11,121,24
MED0003,2024-12,131,24
MED0003,2025-01,132,25
MED0003,2025-02,126,22
MED0003,2025-03,150,27
MED0003,2025-04,149,29
MED0003,2025-05,180,35
MED0003,2025-06,144,26
MED0003,2025-07,123,22
MED0003,2025-08,139,22
MED0003,2025-09,139,28
MED0003,2025-10,134,27
MED0003,2025-11,155,28
MED0003,2025-12,136,30
MED0004,2024-01,170,39
MED0004,2024-02,170,29
MED0004,2024-03,177,32
MED0004,2024-04,185,35
MED0004,2024-05,155,30
MED0004,2024-06,148,27
MED0004,2024-07,133,26
MED0004,2024-08,140,31
MED0004,2024-09,161,24
MED0004,2024-10,124,23
MED0004,2024-11,155,29
MED0004,2024-12,153,28
MED0004,2025-01,144,20
MED0004,2025-02,155,19
MED0004,2025-03,166,23
MED0004,2025-04,152,20
MED0004,2025-05,174,22
MED0004,2025-06,189,28
MED0004,2025-07,166,19
MED0004,2025-08,185,27
MED0004,2025-09,172,24
MED0004,2025-10,151,19
MED0004,2025-11,143,19
MED0004,2025-12,132,20
MED0005,2024-01,131,23
MED0005,2024-02,141,31
MED0005,2024-03,176,35
MED0005,2024-04,158,31
MED0005,2024-05,190,36
MED0005,2024-06,147,34
MED0005,2024-07,152,26
MED0005,2024-08,112,23
MED0005,2024-09,146,31
MED0005,2024-10,115,24
MED0005,2024-11,128,23
MED0005,2024-12,145,27
MED0005,2025-01,157,20
MED0005,2025-02,144,22
MED0005,2025-03,130,19
MED0005,2025-04,147,22
MED0005,2025-05,158,21
MED0005,2025-06,123,18
MED0005,2025-07,145,21
MED0005,2025-08,124,19
MED0005,2025-09,132,17
MED0005,2025-10,118,16
MED0005,2025-11,146,20
MED0005,2025-12,145,21
MED0006,2024-01,405,84
MED0006,2024-02,408,72
MED0006,2024-03,369,78
MED0006,2024-04,480,99
MED0006,2024-05,444,79
MED0006,2024-06,454,87
MED0006,2024-07,363,68
MED0006,2024-08,412,79
MED0006,2024-09,412,79
MED0006,2024-10,342,61
MED0006,2024-11,376,67
MED0006,2024-12,360,71
MED0006,2025-01,408,74
MED0006,2025-02,475,87
MED0006,2025-03,512,98
MED0006,2025-04,486,83
MED0006,2025-05,426,71
MED0006,2025-06,414,79
MED0006,2025-07,458,88
MED0006,2025-08,450,88
MED0006,2025-09,431,77
MED0006,2025-10,379,74
MED0006,2025-11,345,55
MED0006,2025-12,502,100
MED0007,2024-01,137,19
MED0007,2024-02,147,18
MED0007,2024-03,131,17
MED0007,2024-04,186,26
MED0007,2024-05,136,18
MED0007,2024-06,141,17
MED0007,2024-07,162,22
MED0007,2024-08,112,14
MED0007,2024-09,147,18
MED0007,2024-10,165,20
MED0007,2024-11,132,15
MED0007,2024-12,163,24
MED0007,2025-01,158,16
MED0007,2025-02,153,23
MED0007,2025-03,171,22
MED0007,2025-04,167,24
MED0007,2025-05,158,22
MED0007,2025-06,162,24
MED0007,2025-07,158,21
MED0007,2025-08,129,19
MED0007,2025-09,111,15
MED0007,2025-10,149,19
MED0007,2025-11,131,16
MED0007,2025-12,147,20
MED0008,2024-01,102,13
MED0008,2024-02,103,11
MED0008,2024-03,94,11
MED0008,2024-04,106,14
MED0008,2024-05,104,12
MED0008,2024-06,103,11
MED0008,2024-07,95,11
MED0008,2024-08,97,11
MED0008,2024-09,98,10
MED0008,2024-10,88,10
MED0008,2024-11,101,10
MED0008,2024-12,107,11
MED0008,2025-01,102,12
MED0008,2025-02,112,14
MED0008,2025-03,108,13
MED0008,2025-04,126,14
MED0008,2025-05,102,12
MED0008,2025-06,116,13
MED0008,2025-07,87,10
MED0008,2025-08,104,12
MED0008,2025-09,94,12
MED0008,2025-10,102,12
MED0008,2025-11,95,10
MED0008,2025-12,95,11
MED0009,2024-01,113,22
MED0009,2024-02,110,20
MED0009,2024-03,123,26
MED0009,2024-04,114,22
MED0009,2024-05,95,19
MED0009,2024-06,112,23
MED0009,2024-07,119,25
