id_visita,id_delegado,id_medico,fecha
V001237,DEL033,MED0147,2024-01-01
V002200,DEL024,MED0283,2024-01-01
V002503,DEL034,MED0319,2024-01-01
V003769,DEL014,MED0457,2024-01-01
V003775,DEL014,MED0457,2024-01-01
V004134,DEL014,MED0511,2024-01-01
V005030,DEL023,MED0623,2024-01-01
V005991,DEL033,MED0734,2024-01-01
V006101,DEL046,MED0750,2024-01-01
V006584,DEL043,MED0811,2024-01-01
V006942,DEL006,MED0859,2024-01-01
V007513,DEL030,MED0926,2024-01-01
V008633,DEL030,MED1053,2024-01-01
V010859,DEL002,MED1325,2024-01-01
V010878,DEL010,MED1326,2024-01-01
V012558,DEL020,MED1503,2024-01-01
V012658,DEL037,MED1519,2024-01-01
V012756,DEL042,MED1526,2024-01-01
V013376,DEL004,MED1588,2024-01-01
V014037,DEL043,MED1641,2024-01-01
V014542,DEL018,MED1698,2024-01-01
V014600,DEL020,MED1700,2024-01-01
V014868,DEL049,MED1735,2024-01-01
V015434,DEL020,MED1797,2024-01-01
V015563,DEL041,MED1809,2024-01-01
V000266,DEL018,MED0040,2024-01-02
V001360,DEL006,MED0161,2024-01-02
V001410,DEL041,MED0165,2024-01-02
V001638,DEL019,MED0200,2024-01-02
V001657,DEL039,MED0202,2024-01-02
V002217,DEL007,MED0287,2024-01-02
V002431,DEL021,MED0309,2024-01-02
V004221,DEL039,MED0527,2024-01-02
V006052,DEL013,MED0748,2024-01-02
V006477,DEL035,MED0796,2024-01-02
V006747,DEL036,MED0833,2024-01-02
V006903,DEL049,MED0852,2024-01-02
V006936,DEL006,MED0859,2024-01-02
V007138,DEL025,MED0882,2024-01-02
V007274,DEL043,MED0895,2024-01-02
V008317,DEL040,MED1016,2024-01-02
V008661,DEL049,MED1058,2024-01-02
V010670,DEL050,MED1288,2024-01-02
V011917,DEL036,MED1438,2024-01-02
V012320,DEL042,MED1476,2024-01-02
V012894,DEL049,MED1542,2024-01-02
V013678,DEL010,MED1615,2024-01-02
V013681,DEL010,MED1615,2024-01-02
V013857,DEL024,MED1624,2024-01-02
V014179,DEL016,MED1656,2024-01-02
V014309,DEL015,MED1675,2024-01-02
V014757,DEL048,MED1717,2024-01-02
V014919,DEL034,MED1746,2024-01-02
V015711,DEL049,MED1835,2024-01-02
V016601,DEL012,MED1955,2024-01-02
V000168,DEL021,MED0024,2024-01-03
V001677,DEL030,MED0205,2024-01-03
V002260,DEL031,MED0289,2024-01-03
V003320,DEL050,MED0406,2024-01-03
V003944,DEL042,MED0478,2024-01-03
V005610,DEL011,MED0700,2024-01-03
V005707,DEL014,MED0708,2024-01-03
V006460,DEL020,MED0795,2024-01-03
V006840,DEL006,MED0845,2024-01-03
V007273,DEL043,MED0895,2024-01-03
V008366,DEL027,MED1025,2024-01-03
V009096,DEL020,MED1098,2024-01-03
V010174,DEL034,MED1220,2024-01-03
V013994,DEL018,MED1633,2024-01-03
V014447,DEL036,MED1686,2024-01-03
V015438,DEL020,MED1797,2024-01-03
V015691,DEL048,MED1827,2024-01-03
V000829,DEL001,MED0101,2024-01-04
V000967,DEL008,MED0114,2024-01-04
V001316,DEL036,MED0158,2024-01-04
V001508,DEL020,MED0185,2024-01-04
V002007,DEL002,MED0247,2024-01-04
V002929,DEL023,MED0366,2024-01-04
V003553,DEL048,MED0438,2024-01-04
V003779,DEL014,MED0457,2024-01-04
V005428,DEL016,MED0676,2024-01-04
V005744,DEL039,MED0713,2024-01-04
V005943,DEL018,MED0730,2024-01-04
V006408,DEL003,MED0789,2024-01-04
V007831,DEL015,MED0970,2024-01-04
V008344,DEL008,MED1022,2024-01-04
V008381,DEL030,MED1029,2024-01-04
V008964,DEL031,MED1089,2024-01-04
V009802,DEL048,MED1185,2024-01-04
V010199,DEL017,MED1221,2024-01-04
V010567,DEL023,MED1275,2024-01-04
V010861,DEL002,MED1325,2024-01-04
