id_medico,id_delegado,region,segmento,categoria_2025,cuota_2025,visitas_2025,visitas_plan,delta_visitas,delta_unidades,delta_eur
MED1876,DEL001,Noreste,A,16069,0.206,13,11,-2,-62,-1116
MED1984,DEL001,Noreste,A,13649,0.22,15,10,-5,-125,-2250
MED1893,DEL001,Noreste,A,12804,0.237,11,9,-2,-66,-1188
MED1347,DEL001,Noreste,A,12233,0.198,6,9,3,150,2700
MED0374,DEL001,Noreste,A,11926,0.218,13,9,-4,-107,-1926
MED1975,DEL001,Noreste,A,11481,0.178,2,9,7,619,11142
MED0076,DEL001,Noreste,A,11415,0.26,13,8,-5,-141,-2538
MED1424,DEL001,Noreste,A,8674,0.212,22,7,-15,-224,-4032
MED0266,DEL001,Noreste,B,6293,0.228,4,6,2,91,1638
MED0854,DEL001,Noreste,B,5811,0.231,7,5,-2,-65,-1170
MED0442,DEL001,Noreste,B,5742,0.206,7,5,-2,-64,-1152
MED1392,DEL001,Noreste,B,5728,0.213,4,5,1,47,846
MED1736,DEL001,Noreste,B,5538,0.207,6,5,-1,-35,-630
MED1970,DEL001,Noreste,B,5124,0.141,1,5,4,310,5580
MED1959,DEL001,Noreste,B,4954,0.231,6,5,-1,-31,-558
MED1863,DEL001,Noreste,B,4834,0.171,2,5,3,171,3078
MED0585,DEL001,Noreste,B,4756,0.232,4,5,1,39,702
MED0954,DEL001,Noreste,B,4646,0.12,0,5,5,490,8820
MED1273,DEL001,Noreste,B,4587,0.164,1,4,3,240,4320
MED1562,DEL001,Noreste,B,4394,0.207,4,4,0,0,0
MED1234,DEL001,Noreste,B,4388,0.118,0,4,4,427,7686
MED1081,DEL001,Noreste,B,4105,0.171,2,4,2,112,2016
MED0699,DEL001,Noreste,B,3767,0.211,3,4,1,42,756
MED0867,DEL001,Noreste,B,3663,0.206,4,4,0,0,0
MED1445,DEL001,Noreste,B,3601,0.199,9,4,-5,-96,-1728
MED1169,DEL001,Noreste,C,2430,0.244,4,3,-1,-27,-486
MED1845,DEL001,Noreste,C,2265,0.161,1,2,1,57,1026
MED0577,DEL001,Noreste,C,2151,0.164,1,2,1,54,972
MED1366,DEL001,Noreste,C,2077,0.221,13,2,-11,-131,-2358
MED0100,DEL001,Noreste,C,2073,0.228,2,2,0,0,0
MED1828,DEL001,Noreste,C,2060,0.131,0,2,2,144,2592
MED0216,DEL001,Noreste,C,2059,0.231,2,2,0,0,0
